apcs1-10	h35-09	3609.48	148719	174882	17.5922	25672	190387	0.287668
apcs1-10	h35-10	962.51	117367	117379	0.00998496	41396	186414	0.191556
apcs1-10	h40-01	3605.91	140351	177138	26.2113	16142	199702	0.291685
apcs1-10	h40-02	3604.49	171518	199178	16.1266	37750	233058	0.276715
apcs1-10	h40-03	3605.26	165153	197489	19.5797	23717	237457	0.29676
apcs1-10	h40-04	3604.36	155010	166877	7.6554	46034	196482	0.309066
apcs1-10	h40-05	3610.6	140901	149369	6.00958	34987	167034	0.285809
apcs1-10	h40-06	3613.99	162800	181326	11.3796	32229	205654	0.328591
apcs1-10	h40-07	3607.57	165301	192941	16.7212	19107	210812	0.331262
apcs1-10	h40-08	3604.1	126942	142201	12.0209	59095	180355	0.269786
apcs1-10	h40-09	3607.09	112158	130166	16.0556	25595	162203	0.274573
apcs1-10	h40-10	3607.13	165740	184407	11.2629	37841	205623	0.288435
apcs1-10	h45-01	3604.15	152091	200808	32.0317	24623	221585	0.312153
apcs1-10	h45-02	3607.02	163629	210804	28.8303	15102	237894	0.341761
apcs1-10	h45-03	3608.42	200264	222337	11.0219	56849	291519	0.286328
apcs1-10	h45-04	3605.01	167803	194340	15.8144	33753	245356	0.287856
apcs1-10	h45-05	3605.53	175469	208940	19.0748	22784	243780	0.340175
apcs1-10	h45-06	3603.5	129600	173041	33.5191	27654	198267	0.310527
apcs1-10	h45-07	3608.16	193449	225065	16.3435	13987	247352	0.342922
apcs1-10	h45-08	3603.09	158312	197827	24.9602	35542	230593	0.315152
apcs1-10	h45-09	3604.92	141507	177056	25.1216	40138	218240	0.324345
apcs1-10	h45-10	3606.53	175487	237114	35.1177	14610	259961	0.352427
apcs1-10	h50-01	3605.82	205922	241172	17.1181	30295	268456	0.335663
apcs1-10	h50-02	3607.41	196782	229120	16.4334	15677	250791	0.382406
apcs1-10	h50-03	3609.78	223071	272574	22.1917	12680	300501	0.402936
apcs1-10	h50-04	3619.51	205709	281379	36.7853	9975	322741	0.393214
apcs1-10	h50-05	3605.89	173600	220164	26.8228	18460	265954	0.339484
apcs1-10	h50-06	3616.25	247866	355055	43.2448	11109	419515	0.454568
apcs1-10	h50-07	3613.95	145653	193097	32.5731	17503	223297	0.438181
apcs1-10	h50-08	3616.35	173492	250517	44.3969	10826	271502	0.429108
apcs1-10	h50-09	3610.13	202929	247657	22.0416	17422	277721	0.382255
apcs1-10	h50-10	3607.47	140517	174495	24.1803	24453	200522	0.37602
apcs1-10	d30-01	1393.86	124364	124376	0.00984467	24952	137261	0.480011
apcs1-10	d30-02	232.269	102517	102517	0	2202	110940	0.473712
apcs1-10	d30-03	90.295	105077	105087	0.00921003	1939	113829	0.436811
apcs1-10	d30-04	3607.54	110818	113259	2.20291	21997	120012	0.443952
apcs1-10	d30-05	3604.07	102873	103508	0.617333	50285	115236	0.479842
apcs1-10	d30-06	3605.47	94956.8	96208.9	1.31868	19810	104505	0.466947
apcs1-10	d30-07	168.688	107160	107171	0.0096541	2168	117747	0.39909
apcs1-10	d30-08	234.361	120388	120398	0.00854843	3289	131479	0.454568
apcs1-10	d30-09	1572.88	125744	125756	0.00973796	10185	136435	0.518905
apcs1-10	d30-10	3607.23	102453	106263	3.71882	19910	115903	0.475671
apcs1-10	d35-01	3156.45	103516	103526	0.00997746	17373	117708	0.538335
apcs1-10	d35-02	3607.28	165043	167708	1.61464	19299	182226	0.605537
apcs1-10	d35-03	3608.21	121697	121890	0.158095	48456	128684	0.575003
apcs1-10	d35-04	558.266	111192	111202	0.00965538	5720	134535	0.508835
apcs1-10	d35-05	3612.99	120444	125314	4.04378	10886	132910	0.575014
apcs1-10	d35-06	3610.07	133887	137141	2.43107	19891	147386	0.590604
apcs1-10	d35-07	764.87	125361	125373	0.009858	4675	134707	0.584214
apcs1-10	d35-08	3607.36	118553	120023	1.2399	11934	127957	0.611014
apcs1-10	d35-09	1979.34	114381	114393	0.00992846	14448	123546	0.608816
apcs1-10	d35-10	3609.92	103503	106606	2.99875	25110	124368	0.520137
apcs1-10	d40-01	3604.05	143332	154131	7.53427	18704	169661	0.61349
apcs1-10	d40-02	3603.72	123074	129375	5.11915	17078	157971	0.632843
apcs1-10	d40-03	3607.98	130555	138908	6.39812	12515	147991	0.64732
apcs1-10	d40-04	3612.55	145466	149396	2.70171	10310	158121	0.749155
apcs1-10	d40-05	1537.79	145624	145637	0.00862115	5860	158083	0.695915
apcs1-10	d40-06	3566.34	126705	126718	0.00999802	35880	146008	0.716604
apcs1-10	d40-07	3606.66	138283	146591	6.00798	13725	161200	0.693189
apcs1-10	d40-08	3608.67	104056	110243	5.946	11157	119653	0.580815
apcs1-10	d40-09	3603.13	91233.2	92066.7	0.91357	28488	107867	0.572686
apcs1-10	d40-10	3606.92	120605	127316	5.56396	22940	148785	0.622661
apcs1-10	d45-01	3608.05	150152	169172	12.6676	8151	183777	0.769361
apcs1-10	d45-02	3605.42	138953	141637	1.93156	14576	149024	0.787209
apcs1-10	d45-03	3605.07	148025	153991	4.03005	21448	172138	0.756243
apcs1-10	d45-04	3609.15	165564	181719	9.75764	6710	191035	0.81931
apcs1-10	d45-05	3612.68	127781	135019	5.66473	11182	142976	0.817853
apcs1-10	d45-06	3605.43	193598	197427	1.97737	10760	219522	0.796749
apcs1-10	d45-07	3608.32	127429	132241	3.77562	19144	149661	0.77057
apcs1-10	d45-08	3609.39	138124	151327	9.55878	10630	156790	0.755756
apcs1-10	d45-09	3612.05	154148	170636	10.6961	10626	187282	0.711982
apcs1-10	d45-10	3612.53	149039	157819	5.89073	9891	171002	0.713355
apcs1-10	d50-01	3616.79	154441	174647	13.0834	4480	184336	0.933744
apcs1-10	d50-02	3605.31	163672	173683	6.11682	11270	185088	0.862302
apcs1-10	d50-03	3610.63	161772	170649	5.48723	9954	182236	0.895529
apcs1-10	d50-04	3608.26	145139	158538	9.23161	10112	174385	0.815277
apcs1-10	d50-05	3605.04	159799	166709	4.32393	14678	181404	0.79191
apcs1-10	d50-06	3605.05	111115	117270	5.53939	23990	133465	0.72182
apcs1-10	d50-07	3608.93	152721	163016	6.74139	10975	182540	0.825645
apcs1-10	d50-08	3609.7	179592	199383	11.0197	9369	220356	0.846816
apcs1-10	d50-09	3606.55	202499	225852	11.5323	5904	239115	0.937632
apcs1-10	d50-10	3619.37	181584	197130	8.56151	6910	220011	0.862114
apcs1-10	v30-01	578.873	260716	260742	0.00998102	36907	283001	0.152923
apcs1-10	v30-02	3601.63	362609	427137	17.7953	22556	488139	0.182021
apcs1-10	v30-03	3600.84	197174	207560	5.26717	75852	252395	0.138712
apcs1-10	v30-04	3601.53	285267	312889	9.68291	49541	344014	0.163727
apcs1-10	v30-05	3600.74	287171	296330	3.18933	71200	342068	0.150097
apcs1-10	v30-06	1497.9	355936	355972	0.0099867	149166	426381	0.13407
apcs1-10	v30-07	3601.04	224196	238079	6.1925	72271	284792	0.145397
apcs1-10	v30-08	3600.92	359880	363584	1.02912	86421	398890	0.16534
apcs1-10	v30-09	3600.73	365694	379994	3.91036	115471	443914	0.137853
apcs1-10	v30-10	3600.9	288685	309045	7.05236	85426	349030	0.141465
apcs1-10	v35-01	3600.83	273730	276600	1.04842	176986	345504	0.152606
apcs1-10	v35-02	1266.82	149575	149590	0.00999255	48482	219740	0.15761
apcs1-10	v35-03	3600.88	328402	366304	11.5413	61950	423658	0.180976
apcs1-10	v35-04	3601.37	226110	254437	12.5278	44780	324336	0.152486
apcs1-10	v35-05	3602.01	544429	598183	9.87357	25377	684760	0.205845
apcs1-10	v35-06	3601.34	382625	415669	8.63603	59022	497782	0.192811
apcs1-10	v35-07	3602.22	490375	537121	9.53273	28771	560326	0.194784
apcs1-10	v35-08	3601.57	286281	329108	14.9597	25244	381412	0.184869
apcs1-10	v35-09	3601.26	394721	410485	3.99393	93614	470903	0.186031
apcs1-10	v35-10	3601.13	304157	366579	20.5226	34551	415487	0.19027
apcs1-10	v40-01	3600.77	276074	295000	6.8556	62890	388274	0.157434
apcs1-10	v40-02	3600.78	182086	187156	2.78482	81931	240846	0.164914
apcs1-10	v40-03	3601.28	291293	311703	7.00662	36075	385336	0.212613
apcs1-10	v40-04	3602.15	244013	273431	12.0562	29729	292056	0.189971
apcs1-10	v40-05	3601.68	416345	469434	12.7511	24098	545403	0.23877
apcs1-10	v40-06	3601.53	408360	474551	16.2089	23907	521041	0.226852
apcs1-10	v40-07	3600.9	406223	424946	4.60907	57996	503442	0.20824
apcs1-10	v40-08	3601.59	389253	438908	12.7566	24648	484684	0.238935
apcs1-10	v40-09	3601.29	411528	488355	18.6688	27044	564102	0.227315
apcs1-10	v40-10	3602.33	329182	448820	36.3441	32642	519521	0.21476
apcs1-10	v45-01	3601.58	466686	486457	4.23644	50150	563994	0.238272
apcs1-10	v45-02	3602.59	298977	342784	14.6522	20673	391035	0.251667
apcs1-10	v45-03	3601.3	348467	426372	22.3564	26564	521413	0.223888
apcs1-10	v45-04	3601.09	251425	286227	13.842	52286	394446	0.223642
apcs1-10	v45-05	3603.12	467552	543221	16.184	15372	599398	0.296229
apcs1-10	v45-06	3602.86	236652	269663	13.9492	19410	309798	0.215846
apcs1-10	v45-07	3601.36	392859	461824	17.5548	23193	514926	0.216148
apcs1-10	v45-08	3603.18	311428	394118	26.5516	18602	434521	0.266117
apcs1-10	v45-09	3601.23	407165	480748	18.0721	65451	567989	0.216622
apcs1-10	v45-10	3601.23	321534	367688	14.3541	46281	436975	0.206396
apcs1-10	v50-01	3601.26	181193	212440	17.245	39438	302844	0.218592
apcs1-10	v50-02	3601.64	336530	388491	15.4405	23260	452666	0.245818
apcs1-10	v50-03	3601.77	344830	387276	12.3093	25798	434948	0.23509
apcs1-10	v50-04	3600.86	407779	444308	8.95788	42622	556541	0.195902
apcs1-10	v50-05	3602.4	509697	605975	18.8892	10986	681192	0.246702
apcs1-10	v50-06	3602.2	495402	627115	26.5873	11195	669178	0.279734
apcs1-10	v50-07	3602.02	334520	391302	16.9741	33810	458452	0.219351
apcs1-10	v50-08	3601.71	394059	453675	15.1288	25779	508917	0.230033
apcs1-10	v50-09	3601.59	417425	495294	18.6547	23923	547736	0.262452
apcs1-10	v50-10	3602.63	319267	411459	28.8763	15922	468975	0.262002
apcs1-100	g30-01	3600.2	88613.1	109887	24.0079	274514	166030	0.0630713
apcs1-100	g30-02	3600.22	85646.7	143818	67.9203	152211	246598	0.0644678
apcs1-100	g30-03	3600.17	108068	138049	27.7421	246671	246482	0.0622194
apcs1-100	g30-04	3600.18	87394.4	212167	142.77	141942	329649	0.0615021
apcs1-100	g30-05	3600.2	71867.1	111421	55.0379	229164	209009	0.0638384
apcs1-100	g30-06	3600.21	104022	121706	17.0001	304360	229660	0.0651362
apcs1-100	g30-07	3600.15	100211	173424	73.0587	188160	265513	0.0495999
apcs1-100	g30-08	3600.16	54138.3	63734.2	17.7248	505167	152188	0.0526622
apcs1-100	g30-09	3600.12	70255.5	83574.4	18.9578	210615	175885	0.0448254
apcs1-100	g30-10	3600.2	101412	120262	18.5879	162257	208278	0.0638591
apcs1-100	g35-01	3600.15	112071	135741	21.1207	295396	236803	0.0611437
apcs1-100	g35-02	3600.12	66333.1	93897.3	41.5542	290423	170238	0.0525945
apcs1-100	g35-03	3600.22	104790	186831	78.2903	115025	255466	0.0678732
apcs1-100	g35-04	3600.18	116937	172287	47.3334	190726	302585	0.0680008
apcs1-100	g35-05	3600.15	121739	142486	17.0425	257952	213202	0.0610041
apcs1-100	g35-06	3600.14	118298	131169	10.8795	285268	274470	0.0505801
apcs1-100	g35-07	3600.17	95724.3	102724	7.31276	349428	220548	0.0579545
apcs1-100	g35-08	3600.32	101312	173118	70.876	139342	249764	0.0769892
apcs1-100	g35-09	3600.17	149948	204506	36.3843	218531	296596	0.0640529
apcs1-100	g35-10	3600.32	109163	188222	72.4225	127792	272978	0.072062
apcs1-100	g40-01	3600.21	105028	130787	24.5262	202686	225453	0.0710155
apcs1-100	g40-02	3600.19	103256	154904	50.0188	172381	269344	0.0591663
apcs1-100	g40-03	3600.27	233213	271009	16.2068	79854	375982	0.0945538
apcs1-100	g40-04	3600.16	90480	111133	22.8257	210542	184593	0.0577814
apcs1-100	g40-05	3600.1	84783	107733	27.069	237307	214346	0.0590476
apcs1-100	g40-06	3600.15	86430.3	155522	79.9396	221903	290091	0.0696699
apcs1-100	g40-07	3600.16	107977	253040	134.346	183866	350483	0.0608356
apcs1-100	g40-08	3600.29	164882	317565	92.6017	96763	431031	0.101964
apcs1-100	g40-09	3600.14	112265	213278	89.9781	335780	348306	0.0624835
apcs1-100	g40-10	3600.22	97223.3	189792	95.2128	148739	277470	0.0763081
apcs1-100	g45-01	3600.28	109109	187921	72.2328	218613	291292	0.0630042
apcs1-100	g45-02	3600.21	115601	265389	129.573	147616	387021	0.0770372
